company,score,signals,events_count,reason,latest_title,latest_url,status
Росатом,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,«Росатом» расширяет сеть обучающих мероприятий для травматологов-ортопедов - Атомная энергия 2.0,https://news.google.com/rss/articles/CBMiYEFVX3lxTFBkTjEzVXdpSmxWWVpIc0ZBTzhXQXdrX1FOX2xKeDNoNTM2WWt1LU5YZk0ydjFMQUoyYmF2aVEtdXk1MnB1NEpMNlRZLW9rQUY1M2xtcUxlQnlEU2JMdFNGbg?oc=5,new
Самый SOK: миллиардер Игорь Рыбаков,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,Самый SOK: миллиардер Игорь Рыбаков расширяет сеть коворкингов - Forbes.ru,https://news.google.com/rss/articles/CBMipAFBVV95cUxOWFhncUdJRkpLNnlmTVNGZTVTaVU0ZksyTEgtaUVPVkpXZUxrWElac3JnM0xoMVpyQWFZS0ZnaWhHTURhd1h3RXFTT1F0ak5lbzJOWE1Kc1hDaXY4MUgxc1dGNm9wREVWNDBvU1BRbllFZVNRLUYzM1RxZnRrSzdkZUI3TDBkTF8xalZfdDFIUWdFaks5U1ZVcnUtZ0FxaFN1WEEtMw?oc=5,new
AT&T,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,AT&T расширяет сеть за счет активов Lumen – Публикации - Finversia,https://news.google.com/rss/articles/CBMikAFBVV95cUxPZjVFd1UtZkNPc1FyM2VZcU12ZW93YXBGMzdSV3V3c2JBb0hQWlFtWnBvUG5jaGdTM3A4ZG9qXzBPalB4dDBpMEV5aE0yZUJSNml1SnBpbnZlN2Z4bmExeWNEUm9yMXRhMlVPNmpZbmgzUjU0RFVuUGdBOFNDRm43d3ozb1RLX3diTlRtXzRHb0c?oc=5,new
Экология,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,"Яндекс Электро расширяет сеть зарядных станций для электромобилей - НИА ""Экология""",https://news.google.com/rss/articles/CBMiSkFVX3lxTE4tbXlYZEswSUdGdndNdFRPdkRDbUZmUVNQbWsyWk9PMXFxRWNxUTRiTUZlbEw3a1pPUW5CZENnWDl5eFR5OWw4QXZn?oc=5,new
s.Oliver Shoes,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,s.Oliver Shoes расширяет сеть магазинов в России - profashion.ru,https://news.google.com/rss/articles/CBMikgFBVV95cUxPdDVvYTZfenFBS0EtR1NEY1I1VERIdy1YbjFSVWVzYTdoNnV3dFdwOXFXanctbGMyQklxSTRtcm41TWwwSkdmVTFtb29vRzloVzg4dk9UY0RDckxVLUxvekUzT1g4blc4czZzblExUi1ERndQWWhGbUl5a2JPSzZ5T1g0OGlDVGhfOTNhQVA1RzBiZw?oc=5,new
Актив Банк,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,Актив Банк расширяет сеть своих операционных подразделений - Азия-Плюс,https://news.google.com/rss/articles/CBMimgFBVV95cUxQSEJYSVl2YlhzaFNHdS1RdGlSRm1WaXpHa2JwWWo1b2NLS1k1bFB5NGdIQVhva0xyc0tod0V6NUUwcUlvR3A0azNVanFfN0hyWERhMVh3UWVFNFJxV3ZNNkZiWm9LM1pjN1ZuaTBrRE9Id1hWdGV2MHAtX182b0lLNWw3VGJsd19ad29WY21GWjAzYU5UeEZ4ajZ3?oc=5,new
АгромашХолдингKZ,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,"""АгромашХолдингKZ"" расширяет сеть сервисных центров по обслуживанию с/х техники - Inbusiness.kz",https://news.google.com/rss/articles/CBMisAFBVV95cUxPYV9XVVlWU1ZrVmxkR2Jwd0ZidjBIUU1pX1Z0Vk5ONE41QkwwQTZxR2lrZHlRUUlQdktQU0tNUXFsN0EzSzdYZ2ZBTUxkTHFuYzBpdlN5WGdiUzRrOHViYmg4Z3Q5SUVqSWRfRUhzSHI3Y2M3cV94ckVHZzA0RVRxWW91QWt5WXV5QzI0bldxR01NS0c3R2VoOHpwOFNGWWJMOEdnamNDTzZIbl9scTJ1Ug?oc=5,new
Газпромбанк,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,Газпромбанк расширяет сеть офисов в Московской области - ОИНФО,https://news.google.com/rss/articles/CBMiRkFVX3lxTE9oeHFsRzNLeFYweUNqbF9zTGhEaUZyYklJcDNIeUZRUjJLaUZuc1FzWTVIb3VjeV83OUtUTFRhX2VkbTJVUHc?oc=5,new
SPRING PR,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,SPRING PR расширяет сеть международного сотрудничества - Banks.am,https://news.google.com/rss/articles/CBMiUEFVX3lxTFA0SDIxb01paGY4b283Z1RWT0hZZF9QOU5ORlJlRG1XcGpINFd6aUtBQmJ2c3N4YXU3dGlWZENMS0o1X2JYVnhkV0FHUllZeVlt?oc=5,new
Инвитро,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,Инвитро расширяет сеть: открылся 1700 медицинский офис компании - UlanMedia,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1oZEtTT1hrOGNaRUJ6UFJIWXBYQnpKZnZmMWR2SGtLb1VFVFdRcXZvNDlmcVZRSUd2MkxnM2JEZHltdkFNME00bWhZQTNMU2_SAU9BVV95cUxNaGRLU09YazhjWkVCelBSSFlwWEJ6SmZ2ZjFkdkhrS29VRVRXUXF2bzQ5ZnFWUUlHdjJMZzNiRGR5bXZBTTBNNG1oWUEzTFNv?oc=5,new
Миллионер из списка Forbes,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,Миллионер из списка Forbes расширяет сеть медицинских клиник в Казахстане - Forbes.kz,https://news.google.com/rss/articles/CBMirgFBVV95cUxNMEtVNEhsNkdFQ1pvaWpqWHVsenl4OTNGQTdmUUNBV3JKTk9yM2FoVGtmQ21veWZqcWd3Rnp6aDZhQUpaWE51Sk9MMTBYWndjcmlyQzAtQkRKczQyNDZJeGxzZGEzLUVZempLazZ1N25PZ29mS2Q1QUZWOU9tQTlyTkNId2piOWp5bUZoaHJRcTQwR2tWdk5rQ0JpOWJYU0hmMzh4S05TRGdaZW8yWnc?oc=5,new
Nar,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,Nar расширяет сеть LTE - Azərtac,https://news.google.com/rss/articles/CBMiakFVX3lxTE1SUGgxa3g4Nkx1amxLTUdqVHVQTnFnN0IzQk5lZFlqSWo3b0ZqcHRuRnhyMkVsdDR1bnlZX2JDUFltOHhxdEVFRzQwMXBTbjFsWXQybFRvZ1BrbHhPNjVTQ3p6aE5LdTlfTnc?oc=5,new
Казахстан,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,Казахстан расширяет сеть заводов по энергетической утилизации отходов - Телеканал Jibek Joly,https://news.google.com/rss/articles/CBMinAFBVV95cUxPRXdac0NmdFgzOHJnTllNNU5ZY19zYU4xYllIbXg4QmkzbkM2UjFvZ216TGZudGg4T2lIUU11ZExNSmNOMDR4VUVtVzdfeVh5QmxQQ0FyanRka1gzMEdYb0JaVkQwWFhGWXZHa1dGSjlYUlFBWDBUYmJOQmJUbV85MVd4VGNoTXBHeUstNzVHNFVsUFh1QUtwcHE3enE?oc=5,new
Turkish Airlines,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,Turkish Airlines расширяет сеть маршрутов из Стамбула - Turkmenportal.com,https://news.google.com/rss/articles/CBMinAFBVV95cUxORGFQaWN0QjE3TVhPSy1TekVFTEhUazBrbm9xcVpuOVcxbjAwMi1WTmpqNkl2clB6RTllaDhJckl3Z2g1a21sUUItOWY1cWNfVW4tMHpLUXlydE9GTXBOSzNUdzRfTmQwRUE0YjVwNGdtYUNTamVkQlc4ekRwR19nWTdjN08yYlg3cjlQU2dqdUhlaTJxWlpoV0lkM3Q?oc=5,new
Uzum Bank,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,Uzum Bank расширяет сеть банкоматов по всей стране - Kursiv Media Узбекистан,https://news.google.com/rss/articles/CBMikAFBVV95cUxPWWItQklEOGQxeWR4eHhHLUFWMkFUVmdjQ2p5TXBoQVAyOWRUMko0Q3VMVnI3ODFSamt2MTBIYlY0a2xMV1JGNWd4cm9Dazc1YzgweUg5dmdIZk9kOVZNTW80SVJ6WnBIblpmWFFVU1hqY1NTTHpPTXJoNkFfOEEwVDBfdTlwa2NUbnFPR0I1NjTSAZYBQVVfeXFMT0VWSW5mQ25QOHFwTHFuNThONGRyNFhaeno2d1pfZTF1QTlzSTlPbk5nZ2tNUERwbkhOM1gtVVdyLV9jaVVhTXhNZUNZOF9ES01xdUJVWFNHUmpKalM2NTN0UXoyUWRQNmxLTndVWktMdEJpNzBfNXA0UHhZTmhYZVlwcjJhN0xGLUtQSzA1RHUxLWZHdkZB?oc=5,new
Mycar.kz,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,Mycar.kz расширяет сеть франшиз в южном регионе Казахстана: 10 августа 2023 09:02 - TengriNews,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPM05aQWROcG1tY3RXUHp1MVB4SnMxZWxUeS1mRTFmVk4tZTA0NUw5QnlTdDNXYmdjeV9WRkxDZmVLN2RrR3R0NDJjbk1weHJvSm1SWnJSTDZ4NWhHZHBmdDlsT0tNcUwwTzdoV1QwNV9zRUJOMmtLLTcyT3JKNEVrRmFOQ2JMb3k3d2F5aUxHMlJyU3VBZE5OUXRZWG44azZaSVkwMDlZUjJrQQ?oc=5,new
Home Credit Bank,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,Home Credit Bank расширяет сеть отделений в Алматы - lsm.kz,https://news.google.com/rss/articles/CBMidEFVX3lxTE1tUk9hZXdIUW1WTndBRXN4cV9WNmpIQ3dnR09uenV3YjRrX01nNEFKNFl6aTRxR3BUVHY2RGVMRmRILWRqUnBuRDljaWo3ZTl6WFI4cFphVS1OanhFZnBxRE80ay1KQ3pmRElQVjQ1czJXQ0JS?oc=5,new
